Sno,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,Location,Age,LOB_id,
1836,2281370,No,27,120,E2,33.73,33.73,0,No,No,Male,Direct,5,Noida,30,2,
1838,2281418,No,4,45,E1,80,80,0,No,Yes,Male,Direct,3,Chennai,27,1,
1839,2281420,No,0,45,E2,23.15,23.15,0,No,Yes,Male,Direct,5,Bangalore,30,2,
1840,2281423,No,1,0,E1,31.82,-1.82,-25.52,No,Yes,Male,Employee Referral,1,Noida,23,2,
1841,2281432,No,1,30,E1,6.84,6.84,0,No,No,Male,Direct,1,Noida,26,2,
1842,2281465,No,35,45,E2,15.38,15.38,0,No,Yes,Male,Direct,5,Chennai,31,8,
1844,2281487,Yes,51,60,E2,41.59,28.32,-9.38,No,No,Male,Employee Referral,12,Bangalore,36,4,
1846,2281506,Yes,28,45,E1,37.04,37.04,0,No,No,Male,Employee Referral,4,Bangalore,26,6,
1848,2281513,No,1,75,E1,33.74,33.74,0,No,Yes,Male,Direct,4,Chennai,26,1,
1850,2281541,Yes,75,30,E1,44.44,44.44,0,No,No,Male,Direct,5,Chennai,30,1,
1852,2281558,No,81,45,E1,20,20,0,No,No,Male,Direct,4,Chennai,32,1,
1854,2281575,No,0,30,E1,19.05,60.38,34.72,No,No,Female,Agency,1,Noida,31,2,
1856,2281605,Yes,28,30,E2,27.59,27.59,0,No,No,Male,Direct,4,Noida,26,2,
1858,2281611,No,34,45,E1,30.95,30.95,0,No,Yes,Male,Direct,3,Chennai,27,1,
1859,2281616,Yes,13,30,E1,83.33,66.67,-9.09,No,No,Male,Employee Referral,4,Chennai,32,1,
1860,2281624,Yes,7,30,E2,33.33,33.33,0,No,No,Male,Direct,5,Noida,29,2,
1861,2281646,Yes,1,90,E3,0.1,0.1,0,No,Yes,Male,Direct,5,Noida,28,2,
1862,2281657,Yes,57,75,E1,66.67,30,-22,No,No,Female,Direct,4,Bangalore,28,1,
1864,2281661,No,1,0,E1,51.52,51.52,0,No,Yes,Male,Employee Referral,2,Chennai,29,1,
1867,2281669,No,0,30,E1,49.25,49.25,0,No,Yes,Female,Direct,3,Bangalore,26,1,
1869,2281671,No,1,30,E1,38.89,38.89,0,No,Yes,Male,Direct,4,Chennai,31,1,
1872,2281676,No,1,30,E1,27.91,27.91,0,No,Yes,Female,Direct,4,Pune,34,1,
1875,2281683,No,11,30,E2,27.27,-4.55,-25,No,Yes,Male,Direct,7,Noida,30,1,
1876,2281687,Yes,0,45,E1,38.89,38.89,0,No,Yes,Male,Direct,4,Noida,28,1,
1877,2281689,No,0,30,E2,52.94,47.06,-3.85,No,No,Male,Direct,7,Kolkata,30,7,
1881,2281713,No,0,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1883,2281719,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1884,2281720,No,0,0,E3,23.08,25,1.56,No,Yes,Male,Direct,6,Chennai,31,2,
1885,2281722,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1887,2281725,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1888,2281726,No,1,60,E3,17.13,17.15,0.02,No,No,Male,Direct,7,Hyderabad,33,2,
1889,2281728,No,1,30,E0,42.86,42.86,0,No,No,Female,Direct,0,Chennai,22,2,
1890,2281734,No,0,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1892,2281758,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1893,2281773,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1895,2281781,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,24,2,
1898,2281791,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,22,2,
1899,2281796,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
1900,2281798,No,0,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
1901,2281802,Yes,14,45,E3,28.57,28.31,-0.21,No,No,Male,Direct,8,Noida,35,2,
1902,2281815,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,22,2,
1903,2281818,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1905,2281828,No,0,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1906,2281830,No,0,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
1907,2281849,No,0,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1908,2281854,No,0,30,E2,25,96.43,57.14,No,No,Male,Direct,5,Noida,28,2,
1910,2281865,No,0,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1913,2281870,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1917,2281876,No,2,30,E2,41.3,41.3,0,No,No,Male,Direct,3,Chennai,28,2,
1919,2281879,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1923,2281916,Yes,58,75,E2,36.59,36.59,0,No,No,Male,Direct,5,Chennai,27,2,
1925,2281925,Yes,70,75,E1,1.81,1.81,0,No,No,Female,Direct,4,Bangalore,27,1,
1931,2282009,No,4,30,E2,35.71,35.71,0,No,No,Male,Employee Referral,3,Noida,27,2,
1933,2282012,Yes,4,30,E1,50,43.34,-4.44,No,No,Male,Direct,3,Noida,27,2,
1936,2282027,No,40,45,E1,60,60,0,No,Yes,Male,Direct,3,Chennai,27,1,
1938,2282029,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1941,2282038,No,64,75,E3,63.23,67.31,2.5,No,Yes,Male,Direct,7,Noida,31,2,
1945,2282053,Yes,1,30,E1,34.62,34.62,0,No,Yes,Female,Direct,4,Chennai,27,1,
1947,2282056,No,0,30,E1,28.3,28.3,0,No,Yes,Female,Direct,1,Noida,24,2,
1950,2282063,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,22,2,
1951,2282065,No,6,30,E0,42.86,42.86,0,No,No,Male,Direct,0,Chennai,22,2,
1953,2282074,Yes,75,90,E1,47.06,47.06,0,No,Yes,Male,Direct,4,Chennai,26,1,
1954,2282076,No,1,0,E2,30.43,25.54,-3.75,No,No,Male,Direct,7,Bangalore,30,1,
1956,2282078,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,22,2,
1959,2282082,Yes,76,90,E1,78.57,78.57,0,No,Yes,Male,Direct,3,Chennai,26,1,
1960,2282086,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1963,2282091,Yes,62,30,E2,11.11,18.06,6.25,No,No,Male,Direct,6,Noida,31,2,
1966,2282095,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
1968,2282100,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
1971,2282115,No,0,0,E2,61.76,32.35,-18.18,No,Yes,Male,Direct,5,Noida,31,2,
1977,2282162,Yes,48,30,E2,12.5,12.5,0,No,No,Male,Direct,5,Noida,30,2,
1980,2282185,No,90,60,E3,28.57,28.31,-0.21,No,No,Male,Direct,7,Noida,28,2,
1981,2282191,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
1982,2282193,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
1984,2282199,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
1987,2282210,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,22,2,
1994,2282228,Yes,66,75,E1,33.93,33.93,0,No,No,Female,Direct,4,Bangalore,29,6,
1997,2282234,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,24,2,
1998,2282238,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
2001,2282274,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
2002,2282282,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
2003,2282285,No,3,0,E0,42.86,42.86,0,No,Yes,Male,Direct,0,Chennai,23,2,
2010,2282298,Yes,0,60,E2,46.47,46.47,0,No,Yes,Male,Direct,4,Noida,32,2,
2013,2282307,No,4,75,E3,30,30,0,No,No,Male,Direct,7,Noida,34,2,
2015,2282320,No,5,30,E1,47.89,47.89,0,No,Yes,Female,Direct,1,Chennai,25,2,
2016,2282323,No,3,0,E0,42.86,42.86,0,No,Yes,Female,Direct,0,Chennai,23,2,
2020,2282347,Yes,25,30,E1,48.81,48.81,0,No,Yes,Female,Employee Referral,4,Noida,29,5,
2023,2282360,Yes,22,30,E1,33.6,33.6,0,No,Yes,Female,Direct,5,Noida,31,5,
2028,2282409,No,81,30,E1,62.16,41.89,-12.5,No,No,Male,Direct,3,Chennai,25,1,
2029,2282418,Yes,35,45,E2,66.67,66.67,0,No,No,Male,Agency,7,Bangalore,29,4,
2030,2282433,No,0,0,E1,58.46,58.46,0,No,Yes,Male,Direct,2,Chennai,24,2,
2031,2282461,Yes,4,90,E1,57.61,57.61,0,No,No,Male,Direct,3,Noida,27,6,
2032,2282496,No,0,0,E2,36.36,21.21,-11.11,No,Yes,Male,Direct,5,Kolkata,46,7,
2033,2282502,No,1,30,E2,42,33.64,-5.88,No,Yes,Male,Direct,8,Noida,34,2,
2034,2282504,Yes,118,120,E2,15.38,30,12.67,No,No,Male,Direct,6,Noida,35,1,
2036,2282508,Yes,11,30,E1,22.22,33.33,9.09,No,No,Female,Employee Referral,5,Noida,30,1,
2039,2282557,No,2,60,E1,60.82,25.73,-21.82,No,No,Female,Employee Referral,3,Noida,27,5,
2041,2282572,Yes,26,30,E1,50,50,0,No,No,Male,Direct,2,Bangalore,25,1,
2043,2282585,No,0,0,E1,20.97,20.97,0,No,Yes,Male,Employee Referral,3,Noida,26,1,
2045,2282604,No,76,90,E3,30.73,30.73,0,No,No,Male,Direct,8,Chennai,29,2,
2048,2282641,Yes,36,60,E3,42.86,42.86,0,No,No,Male,Direct,8,Noida,37,2,
2049,2282669,Yes,4,0,E1,50,68,12,No,Yes,Male,Direct,2,Noida,26,2,
2054,2282744,Yes,32,45,E1,34.38,34.38,0,No,No,Male,Direct,3,Bangalore,31,1,
2067,2282841,Yes,18,30,E1,44.74,44.74,0,No,No,Male,Agency,3,Bangalore,28,4,
2069,2282856,Yes,41,60,E1,21.95,21.95,0,No,No,Male,Direct,3,Bangalore,27,1,
2072,2282880,Yes,3,30,E1,37.5,31.25,-4.55,No,Yes,Male,Employee Referral,3,Noida,27,1,
2074,2282902,No,0,30,E2,16.67,16.67,0,No,No,Female,Employee Referral,3,Noida,34,2,
2075,2282995,Yes,14,30,E1,30,30,0,No,Yes,Male,Direct,6,Bangalore,31,6,
2077,2283028,No,15,75,E2,25,12.5,-10,No,No,Male,Direct,8,Bangalore,32,1,
2079,2283037,Yes,101,60,E2,44.33,28.87,-10.71,No,No,Female,Direct,9,Bangalore,33,1,
2080,2283076,No,0,0,E1,-5.72,-5.72,0,No,Yes,Male,Direct,3,Chennai,30,2,
2085,2283111,Yes,43,45,E2,37.5,25,-9.09,No,No,Male,Direct,6,Bangalore,30,7,
2087,2283122,No,36,30,E1,42.86,28.57,-10,No,No,Female,Direct,3,Bangalore,28,4,
2090,2283129,No,2,0,E2,24.14,13.1,-8.89,No,Yes,Male,Employee Referral,4,Noida,29,2,
2092,2283144,Yes,18,30,E1,29.63,29.63,0,No,Yes,Male,Direct,4,Noida,36,7,
2096,2283160,Yes,9,30,E1,69.23,69.23,0,No,No,Male,Employee Referral,2,Noida,23,2,
2103,2283210,No,34,30,E1,56.25,40.63,-10,No,No,Female,Direct,3,Bangalore,27,4,
2104,2283219,Yes,40,60,E3,35.59,35.59,0,No,Yes,Male,Direct,6,Noida,32,2,
2105,2283221,No,0,30,E1,36.36,36.36,0,No,Yes,Male,Direct,4,Bangalore,28,7,
2107,2283311,No,24,45,E2,3.81,3.81,0,No,No,Male,Direct,7,Kolkata,33,6,
2112,2283361,Yes,13,45,E2,38.89,31.94,-5,No,No,Male,Direct,10,Hyderabad,35,8,
2117,2283419,No,9,30,E2,70,70,0,No,Yes,Male,Direct,7,Bangalore,30,6,
2118,2283469,No,0,30,E2,36.36,18.18,-13.33,No,No,Male,Direct,3,Noida,33,2,
2122,2283494,Yes,30,60,E1,15.66,15.66,0,No,No,Male,Direct,3,Bangalore,27,6,
2128,2283544,Yes,1,30,E1,14.29,14.29,0,No,Yes,Female,Direct,5,Bangalore,31,1,
2129,2283552,Yes,0,0,E2,66.67,66.67,0,No,Yes,Male,Direct,6,Bangalore,28,6,
2137,2283626,Yes,6,75,E2,26.87,18.82,-6.34,No,Yes,Male,Direct,5,Noida,33,2,
2141,2283692,No,3,30,E1,58.33,58.33,0,No,No,Male,Direct,2,Kolkata,33,2,
2147,2283737,No,0,75,E2,4.22,4.22,0,No,Yes,Male,Direct,3,Noida,25,2,
2153,2283806,No,6,30,E1,44.93,26.81,-12.5,No,No,Male,Direct,3,Chennai,27,4,
2159,2283832,No,16,30,E1,21.74,21.74,0,No,No,Male,Direct,1,Noida,25,2,
2160,2283853,No,17,30,E2,21.21,21.21,0,Yes,No,Male,Direct,9,Bangalore,37,1,
2169,2283922,No,1,60,E3,39.73,39.73,0,No,No,Male,Direct,8,Pune,35,2,
2170,2283933,Yes,13,30,E1,30.08,30.08,0,No,No,Female,Direct,5,Chennai,29,6,
2172,2283970,No,0,75,E2,30.23,33.72,2.68,No,Yes,Male,Employee Referral,7,Gurgaon,36,2,
2175,2284021,Yes,33,45,E1,15.38,26.92,10,No,No,Male,Direct,4,Chennai,31,1,
2177,2284025,No,4,30,E1,87.5,66.67,-11.11,No,No,Male,Agency,2,Bangalore,26,1,
2178,2284034,No,4,30,E2,18.52,-3.33,-18.44,No,No,Male,Direct,9,Chennai,35,1,
2180,2284085,No,24,30,E1,66.67,100,20,No,Yes,Male,Direct,2,Noida,23,2,
2184,2284110,No,2,30,E1,22.45,22.45,0,No,No,Female,Direct,1,Noida,24,2,
2186,2284124,No,22,60,E1,15.38,15.38,0,No,No,Male,Direct,4,Noida,28,7,
2192,2284140,No,1,30,E2,32.13,32.13,0,No,No,Male,Employee Referral,4,Noida,29,2,
2194,2284157,No,0,0,E2,47.06,47.06,0,No,No,Male,Direct,2,Noida,24,2,
2195,2284176,No,57,30,E2,33.03,33.03,0,No,No,Male,Employee Referral,8,Chennai,34,2,
2196,2284179,No,0,0,E2,50,40,-6.67,No,Yes,Male,Direct,9,Noida,44,2,
2197,2284187,No,0,0,E2,37.68,37.68,0,No,No,Female,Direct,1,Chennai,38,2,
2198,2284218,No,0,0,E1,26.49,37.03,8.33,Yes,No,Male,Agency,3,Bangalore,28,7,
2200,2284231,No,3,60,E2,53.09,53.09,0,No,No,Male,Direct,4,Chennai,40,2,
2205,2284307,No,77,45,E2,25,25,0,No,No,Female,Direct,6,Bangalore,29,6,
2208,2284329,Yes,32,45,E1,26.09,4.35,-17.24,No,Yes,Male,Direct,3,Noida,27,2,
2209,2284332,Yes,2,45,E2,30.43,30.43,0,No,No,Male,Direct,10,Bangalore,36,1,
2210,2284340,Yes,61,75,E1,20,20,0,No,No,Male,Direct,2,Chennai,25,1,
2212,2284352,No,59,60,E1,42.86,30.95,-8.33,No,Yes,Male,Direct,6,Bangalore,26,1,
2217,2284387,Yes,80,90,E1,22.81,18.42,-3.57,No,Yes,Male,Direct,5,Chennai,28,1,
2219,2284397,Yes,52,60,E1,16.88,42.86,22.22,No,Yes,Male,Direct,5,Chennai,28,1,
2220,2284401,No,0,0,E1,36,-30.4,-48.82,No,Yes,Male,Direct,3,Ahmedabad,28,2,
2222,2284403,No,3,90,E2,35.71,42.86,5.26,No,No,Male,Direct,8,Noida,30,2,
2223,2284406,Yes,76,90,E1,41.18,41.18,0,No,No,Female,Direct,4,Chennai,26,1,
2224,2284407,Yes,9,75,E1,51.11,37.78,-8.82,No,No,Male,Direct,5,Chennai,27,1,
2225,2284408,No,5,0,E1,66.67,30,-22,No,Yes,Male,Direct,5,Chennai,29,1,
2227,2284412,No,34,45,E1,40,40,0,No,Yes,Male,Direct,5,Chennai,29,1,
2228,2284417,No,34,45,E1,100,66.67,-16.67,No,Yes,Male,Direct,1,Chennai,25,1,
2229,2284419,Yes,66,90,E1,107.47,76.35,-15,No,No,Male,Direct,2,Chennai,26,1,
2230,2284420,Yes,0,60,E2,40,45,3.57,No,No,Male,Direct,7,Noida,32,2,
2234,2284443,No,19,60,E2,23.66,7.53,-13.04,No,No,Male,Direct,8,Bangalore,31,1,
2236,2284465,No,7,60,E2,36.17,36.17,0,No,No,Male,Agency,7,Noida,35,2,
2237,2284478,No,0,30,E3,40,36.99,-2.15,No,No,Male,Direct,5,Noida,42,2,
2238,2284481,No,12,30,E2,33.33,33.33,0,No,Yes,Male,Direct,5,Chennai,27,2,
2241,2284495,Yes,63,75,E1,49.7,49.7,0,No,No,Male,Direct,4,Chennai,26,1,
2249,2284548,No,0,90,E2,26.51,23.95,-2.02,No,No,Male,Direct,8,Noida,31,2,
2250,2284561,Yes,1,45,E2,130.41,47.47,-36,No,Yes,Male,Direct,4,Noida,31,2,
2253,2284571,No,1,30,E1,38.89,33.33,-4,No,No,Female,Direct,2,Noida,26,2,
2256,2284602,No,0,0,E2,28.57,28.57,0,No,No,Male,Direct,8,Noida,31,7,
2257,2284612,Yes,13,30,E1,28.57,28.57,0,No,No,Male,Direct,3,Bangalore,28,6,
2258,2284613,Yes,15,30,E1,44.23,44.23,0,No,No,Female,Direct,4,Bangalore,30,6,
2259,2284620,Yes,49,60,E1,70.85,70.85,0,No,No,Male,Direct,3,Bangalore,26,6,
2260,2284626,Yes,61,75,E1,62.5,62.5,0,No,No,Female,Direct,3,Bangalore,27,6,
2264,2284652,Yes,4,75,E2,23.29,23.29,0,No,No,Male,Direct,5,Bangalore,28,7,
2266,2284658,Yes,31,60,E1,66.67,38.89,-16.67,No,No,Male,Employee Referral,9,Noida,31,7,
2268,2284698,Yes,56,60,E1,55.37,69.49,9.09,No,No,Male,Direct,2,Bangalore,27,6,
2276,2284759,No,114,75,E1,75,75,0,No,No,Male,Agency,4,Chennai,27,1,
2277,2284769,No,57,60,E2,11.11,-9.26,-18.33,No,No,Female,Employee Referral,9,Chennai,33,4,
2278,2284796,No,27,120,E1,33.93,17.19,-12.5,No,Yes,Male,Direct,3,Chennai,28,1,
2279,2284798,Yes,75,90,E1,14.58,20.83,5.45,No,No,Male,Direct,4,Chennai,30,1,
2280,2284803,No,55,60,E2,25,25,0,No,No,Male,Direct,9,Bangalore,34,4,
2283,2284849,No,92,120,E1,15.38,15.38,0,No,Yes,Male,Direct,4,Bangalore,27,1,
2284,2284852,No,1,45,E2,94.44,100,2.86,No,No,Male,Direct,4,Chennai,25,2,
2285,2284855,Yes,81,90,E1,57.56,57.56,0,No,No,Male,Direct,4,Bangalore,31,1,
2286,2284875,No,0,0,E1,62.5,37.5,-15.38,No,No,Male,Direct,4,Gurgaon,33,4,
2287,2284892,Yes,0,30,E1,45.25,45.25,0,No,No,Female,Direct,1,Chennai,25,2,
2289,2284921,Yes,36,45,E1,16.67,2.67,-12,No,Yes,Male,Direct,5,Bangalore,29,1,
2290,2284925,Yes,31,45,E1,16.79,-1.46,-15.63,No,No,Male,Direct,4,Bangalore,30,1,
2293,2284984,No,6,30,E2,20,2.88,-14.27,No,Yes,Male,Direct,8,Noida,35,2,
2294,2285102,No,2,0,E2,5.71,5.71,0,No,Yes,Male,Employee Referral,13,Bangalore,37,2,
2296,2285142,Yes,0,0,E2,17.19,17.19,0,No,Yes,Male,Direct,9,Bangalore,36,5,
2299,2285233,Yes,97,120,E2,44.44,17.78,-18.46,No,No,Male,Direct,6,Noida,30,7,
2302,2285272,Yes,40,60,E1,114.29,85.71,-13.33,No,No,Male,Direct,2,Chennai,24,1,
2303,2285274,No,1,0,E3,-6.09,-6.09,0,No,No,Male,Direct,12,Bangalore,38,2,
2304,2285282,No,2,30,E2,42.89,42.89,0,No,No,Male,Direct,3,Noida,29,2,
2307,2285381,No,21,45,E1,54.76,42.86,-7.69,No,No,Male,Direct,3,Chennai,34,1,
2308,2285385,Yes,9,120,E2,24.14,27.59,2.78,No,No,Male,Direct,11,Bangalore,35,1,
2311,2285455,No,1,60,E1,70.21,70.21,0,No,No,Male,Employee Referral,3,Chennai,27,6,
2312,2285469,No,15,30,E2,13.4,13.4,0,No,Yes,Male,Direct,8,Bangalore,34,4,
2314,2285507,No,12,75,E2,7.53,7.53,0,No,No,Male,Direct,6,Kolkata,31,7,
2317,2285592,No,3,0,E2,80.7,80.7,0,No,No,Male,Direct,4,Chennai,27,2,
2321,2285662,No,0,60,E1,25,25,0,No,No,Female,Direct,3,Kolkata,26,7,
2322,2285680,Yes,19,30,E2,56.25,45.83,-6.67,No,Yes,Male,Employee Referral,2,Noida,25,2,
2323,2285682,Yes,56,75,E3,-9.17,-9.17,0,No,No,Male,Direct,13,Bangalore,39,6,
2328,2285709,Yes,68,75,E1,40.21,40.21,0,No,Yes,Male,Employee Referral,3,Noida,25,6,
2329,2285719,No,0,30,E2,100,80,-10,No,No,Male,Direct,2,Chennai,26,2,
2334,2285738,No,33,45,E1,66.67,8.33,-35,No,No,Male,Direct,2,Bangalore,24,1,
2335,2285745,Yes,10,30,E2,42.86,42.86,0,No,No,Male,Employee Referral,9,Chennai,31,2,
2336,2285746,Yes,105,120,E1,66.67,66.67,0,No,Yes,Male,Employee Referral,6,Chennai,29,1,
2337,2285757,Yes,72,75,E2,20.83,20.83,0,No,Yes,Male,Direct,8,Chennai,40,8,
2339,2285824,Yes,89,90,E3,27.27,21.21,-4.76,No,No,Male,Direct,11,Bangalore,36,6,
2343,2285869,Yes,1,0,E1,42.86,51.79,6.25,No,Yes,Male,Direct,4,Bangalore,30,8,
2344,2285882,No,0,0,E2,42.12,49.87,5.46,No,No,Male,Direct,3,Chennai,26,2,
2347,2285932,No,0,0,E2,52.48,52.48,0,No,Yes,Male,Direct,5,Noida,34,2,
2348,2285955,Yes,5,0,E1,50,33.33,-11.11,Yes,Yes,Male,Direct,3,Noida,26,7,
2350,2286029,Yes,3,45,E2,18.18,41.82,20,No,Yes,Male,Employee Referral,7,Noida,33,1,
2351,2286033,Yes,0,45,E2,20.39,15.57,-4,No,No,Male,Direct,10,Hyderabad,33,8,
2353,2286070,No,53,75,E2,11.94,11.94,0,No,No,Male,Direct,7,Chennai,30,1,
2355,2286119,Yes,68,75,E1,30,30,0,No,No,Male,Direct,4,Bangalore,27,7,
2357,2286127,No,0,30,E2,24.67,24.67,0,No,No,Male,Direct,4,Chennai,26,2,
2359,2286163,Yes,63,60,E2,25.19,25.19,0,No,No,Male,Direct,7,Noida,32,2,
2360,2286189,Yes,7,30,E1,0,0,0,No,No,Female,Employee Referral,5,Chennai,32,6,
2361,2286197,Yes,32,45,E1,71.43,37.14,-20,No,No,Female,Direct,3,Noida,23,7,
2367,2286265,No,5,0,E2,18.52,28.89,8.75,No,Yes,Female,Employee Referral,5,Noida,29,6,
2369,2286282,Yes,1,0,E1,30.95,30.95,0,No,Yes,Male,Direct,4,Chennai,28,6,
2370,2286286,Yes,88,120,E1,68.07,47.06,-12.5,No,No,Male,Direct,3,Chennai,27,1,
2373,2286321,Yes,0,0,E1,14.58,14.58,0,No,No,Male,Direct,3,Kolkata,27,7,
2376,2286368,No,0,0,E1,29,29,0,No,No,Female,Direct,5,Kolkata,30,7,
2377,2286369,No,14,45,E2,50,100,33.33,No,No,Male,Employee Referral,5,Hyderabad,30,2,
2378,2286371,Yes,56,120,E2,53.85,35.9,-11.67,No,No,Male,Direct,1,Chennai,29,7,
2384,2286440,No,31,60,E2,31.25,31.25,0,Yes,Yes,Male,Direct,6,Kolkata,34,7,
2386,2286456,Yes,0,75,E2,45.32,45.32,0,No,No,Male,Direct,3,Noida,30,2,
2387,2286464,Yes,7,0,E1,20.97,20.97,0,No,No,Female,Direct,6,Bangalore,29,6,
2391,2286494,No,3,0,E1,19.05,19.05,0,No,No,Female,Employee Referral,3,Chennai,29,2,
2399,2286623,Yes,4,30,E2,32.49,21.44,-8.33,No,No,Male,Employee Referral,5,Noida,28,2,
2401,2286627,Yes,4,0,E1,20,34.72,12.27,No,Yes,Male,Direct,1,Noida,27,2,
2402,2286629,No,0,0,E1,46.67,44,-1.82,No,No,Male,Direct,1,Noida,25,2,
2403,2286668,Yes,2,0,E1,73.61,35.42,-22,No,No,Female,Direct,3,Bangalore,28,7,
2404,2286704,Yes,84,60,E2,24.05,24.05,0,No,No,Male,Employee Referral,8,Gurgaon,31,2,
2405,2286705,Yes,9,90,E2,50,40,-6.67,No,Yes,Male,Direct,5,Noida,33,7,
2408,2286784,No,0,30,E2,29.63,29.63,0,No,No,Male,Direct,6,Noida,27,2,
2409,2286813,Yes,3,0,E1,54.76,54.76,0,No,No,Male,Direct,3,Kolkata,27,2,
2411,2286836,Yes,15,30,E1,32.74,32.74,0,No,No,Male,Direct,4,Bangalore,31,7,
2414,2286848,No,0,0,E2,24.2,11.13,-10.53,No,No,Male,Employee Referral,12,Kolkata,40,7,
2415,2286850,Yes,1,30,E1,56.86,56.86,0,No,Yes,Female,Direct,5,Noida,30,1,
2417,2286861,Yes,1,30,E1,5.42,5.42,0,No,No,Male,Direct,3,Noida,29,1,
2419,2286868,No,2,45,E1,59.72,38.89,-13.04,No,Yes,Female,Direct,4,Noida,29,1,
2420,2286875,No,0,30,E2,49.26,49.26,0,No,Yes,Male,Direct,4,Noida,27,2,
2422,2286887,No,10,30,E1,7.14,7.14,0,No,Yes,Female,Direct,8,Noida,32,6,
2423,2286914,No,1,30,E1,36.9,36.9,0,No,No,Male,Direct,4,Bangalore,29,7,
2425,2286937,Yes,73,30,E1,146.64,146.64,0,No,No,Male,Direct,3,Chennai,26,6,
2428,2287049,No,18,30,E3,11.34,11.34,0,No,No,Male,Direct,10,Chennai,35,2,
2430,2287072,No,1,30,E1,40,-13.6,-38.29,No,No,Male,Direct,1,Noida,24,2,
2432,2287090,Yes,69,75,E2,10.17,-2.54,-11.54,No,Yes,Male,Direct,8,Bangalore,32,1,
2433,2287091,No,0,0,E1,26.77,26.77,0,No,Yes,Female,Direct,1,Chennai,24,2,
2436,2287119,Yes,2,30,E1,66.67,66.67,0,No,No,Male,Direct,4,Hyderabad,30,8,
2437,2287133,Yes,59,75,E2,42.86,42.86,0,No,Yes,Male,Direct,6,Chennai,30,3,
2438,2287150,Yes,95,120,E1,57.14,57.14,0,No,No,Male,Direct,3,Noida,26,6,
2439,2287162,Yes,38,45,E2,8.7,8.7,0,No,Yes,Male,Direct,8,Kolkata,32,5,
2440,2287165,Yes,42,60,E2,7.02,0.33,-6.25,No,No,Male,Employee Referral,7,Bangalore,31,8,
2443,2287184,Yes,0,0,E1,21.82,21.82,0,Yes,Yes,Male,Employee Referral,3,Chennai,28,8,
2450,2287211,No,40,30,E1,101.51,101.51,0,No,No,Female,Employee Referral,3,Chennai,25,4,
2451,2287229,No,23,60,E1,34.62,36.54,1.43,No,No,Male,Agency,2,Bangalore,25,1,
2452,2287232,Yes,66,60,E2,32.65,32.65,0,No,No,Male,Employee Referral,6,Bangalore,43,8,
